Shipment#,Sales,Operations,Carrier legalName,Carrier displayName,Nature of Goods,Considerable Charging Unit,Origin Port,Commodity,Destination Port,isHouseholdGoods,isUsedGoods,isHazardous,isPerishable,isVehicle,Origin State,Destination State,Destination country,createdDate,shipmentStatus
MAT240382,Maya Davis,Noah Patel,British Airways,British Airways / SFO *,Machinery,170487,ATL,Gunite Machine,DXB,No,No,No,No,No,Georgia,Al Garhoud,United Arab Emirates,2024-01-19T00:03:24.879Z,Released
MAT214808,Ethan Baker,Mia Garcia,Silk Way Airlines,Silk Way Airlines,Other,289191,ORD,E liquid juice,EBL,No,No,No,No,No,Illinois,Kurdistan,Iraq,2021-08-20T17:07:19.860Z,Completed
MAT240403,Alexander Young,Penelope Brooks,Air India,Air India / SFO*,General,230419,ORD,Spares,DEL,No,No,No,No,No,Illinois,Punjab,India,2024-01-19T15:32:19.350Z,Released
MAT223323,Blake Garcia,Evelyn Jones,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,Other,126901,ORD,General Cargo,RUH,No,No,No,No,No,Illinois,Riyadh,Saudi Arabia,2022-06-09T13:41:52.552Z,Completed
MAT214942,Aurora Patel,Liam Hernandez,Allied Air Cargo,Allied Air Cargo C/o Network Cargo *,Other,1040,ATL,"Educational Materials,Laptops,Cell Phones,Office materials,Auto Parts,Groceries",LOS,No,No,No,No,No,Georgia,Anambra,Nigeria,2021-08-26T15:07:23.972Z,Completed
MAT227253,Aurora Patel,Benjamin Lee,British Airways,British Airways/SFO *,General,291468,LAX,E-Liquids,BAH,No,No,No,No,No,California,,Bahrain,2022-12-01T13:46:59.944Z,Completed
MAT235896,Maya Davis,Noah Patel,Pakistan International Airlines,Pakistan International Airlines,Other,214532,JFK," (OLD & USED CARPETS FOR REPAIR /WASH & RETURN TO THE ORIGIN)
HS code : 5701.1010",LHE,No,No,No,No,No,New York,Punjab,Pakistan,2023-09-07T16:37:18.318Z,Completed
MAT242887,Riley Bennett,Elijah Allen,Air India,Air India / SFO*,General,9785,SFO,Hair care products,DEL,No,No,No,No,No,California,Punjab,India,2024-04-30T13:46:00.621Z,Active
MAT225050,Blake Garcia,Benjamin Lee,British Airways,British Airways/SFO *,General,196493,ATL,4 WG 94 Transmissions,MAA,No,No,No,No,No,Georgia,Tamil Nadu,India,2022-09-07T16:07:06.646Z,Completed
MAT241725,Maya Davis,Noah Patel,Philippine Airlines Cargo,Philippine Airlines Cargo / MIA *,Other,244554,LAX,E-Liquids,DMM,No,No,No,No,No,California,Dammam,Saudi Arabia,2024-03-14T21:02:10.433Z,Released
MAT214050,Aurora Patel,Daniel Young,Emirates Sky Cargo,Emirates Sky Cargo / SFO *,Other,209165,LAX,E-Juice,BAH,No,No,No,No,No,California,,Bahrain,2021-07-21T19:22:40.904Z,Completed
